inventor_id,name,country,patent_id
fl:cl_ln:feger-1,Claudius Feger,,10108762
fl:er_ln:losty-1,Eric J. Losty,,10959687
fl:bo_ln:dobbins-1,Bob M. Dobbins,,5564548
fl:fr_ln:sterber-1,Frank W. Sterber,,5415005
fl:si_ln:yang-79,Siying Yang,,11818176
fl:yi_ln:chang-98,Yi-Hsien Chang,,10077187
fl:an_ln:verenchikov-1,Anatoly N. Verenchikov,,8853623
fl:br_ln:fang-1,Brian Fang,,12394954
fl:st_ln:anctil-1,Stephen N. Anctil,,4484963
fl:ke_ln:song-5,Kee-Bong Song,,10700896
fl:jo_ln:godbaz-1,John Peter Godbaz,,10613228
fl:jo_ln:matear-1,Jonathan Matear,,9707561
fl:bo_ln:asmussen-1,Bodo Asmussen,,6335031
fl:ni_ln:baurain-1,Nicolas Baurain,,D691513
fl:br_ln:wall-6,Brian Wall,,10122472
fl:fe_ln:garcia-21,"Felix Garcia, Jr.",,4121073
fl:ji_ln:tong-21,Jiancheng Tong,,D1005753
fl:ji_ln:zhu-407,Jiarui Zhu,,D1016917
fl:ra_ln:gavas-1,Rahul Dasharath Gavas,,11154229
fl:ji_ln:park-337,Jintaek Park,,9758380
fl:pa_ln:dlugosch-1,Paul Dlugosch,,9519860
fl:ka_ln:tsuchida-22,Kazuhiro Tsuchida,,9238664
fl:ed_ln:lomax-1,Edwin D. Lomax,,5085035
fl:de_ln:oxley-2,Derek Oxley,,6954432
fl:ti_ln:swatosh-1,Timothy Swatosh,,8301861
fl:ke_ln:kanota-1,Keiji Kanota,,5089917
fl:er_ln:hamby-1,Eric S. Hamby,,7447452
fl:jo_ln:brown-72,Jonathan W. Brown,,7222671
fl:di_ln:gowda-1,Dinesh Kapani Gowda,,10686852
fl:ed_ln:ostlinning-1,Edgar Ostlinning,,4824933
fl:ka_ln:aihara-11,Katsuaki Aihara,,6578748
fl:jo_ln:eckrich-2,Jörg Eckrich,,10352732
fl:ma_ln:miller-129,Mark Miller,,6995213
fl:ta_ln:lee-57,Tae Jin LEE,,12417557
fl:am_ln:springer-1,Amy L. Springer,,6818760
fl:sh_ln:uehara-13,Shuji Uehara,,5754522
fl:an_ln:hrycin-1,Anna L. Hrycin,,5492776
fl:je_ln:brede-1,Jeffrey Brede,,6279158
fl:mo_ln:parthasarathy-1,Mohan Parthasarathy,,11722367
fl:va_ln:griffiths-1,Vaughn A. Griffiths,,9140276
fl:zh_ln:cai-16,Zhen-Wei Cai,,7566784
fl:ad_ln:zambova-1,Adriana P Zambova,,11021607
